ID,AdminCode,RoadRank,RoadType,RoadNo,LinkType,MaxSpeed,LaneNo,R_LinkID,L_LinkID,FromNodeID,ToNodeID,SectionID,Length,ITSLinkID,Maker,UpdateDate,Version,Remark,HistType,HistRemark
A219BS010424,"233","9","1",,"6","0","2",,A219BS010425,A119BS010213,A119BS010290,,38.27,,새한항업컨소시엄,"20181129","2019",,,
A219BS010425,"233","9","1",,"6","0","1",A219BS010424,A219BS010426,A119BS010214,A119BS010291,,38.22,,새한항업컨소시엄,"20181129","2019",,,
A219BS010426,"233","9","1",,"6","0","91",A219BS010425,,A119BS010215,A119BS010292,,38.31,,새한항업컨소시엄,"20181129","2019",,,
A219BS010427,"233","9","1",,"6","60","2",,A219BS010428,A119BS010226,A119BS010154,,62.92,,새한항업컨소시엄,"20180430","2019",,,
A219BS010428,"233","9","1",,"6","60","1",A219BS010427,,A119BS010227,A119BS010294,,62.74,,새한항업컨소시엄,"20180430","2019",,,
A219BS010429,"233","9","1",,"6","60","1",,,A119BS010294,A119BS010191,,22.90,,새한항업컨소시엄,"20181129","2019",,,
A219BS010430,"233","9","1",,"6","0","1",,,A119BS010210,A119BS010149,,73.85,,새한항업컨소시엄,"20181129","2019",,,
A219BS010431,"233","9","1",,"6","0","1",,,A119BS010212,A119BS010278,,82.15,,새한항업컨소시엄,"20181129","2019",,,
A219BS010432,"233","9","1",,"6","0","1",,,A119BS010218,A119BS010151,,86.83,,새한항업컨소시엄,"20181129","2019",,,
A219BS010433,"233","9","1",,"6","0","1",,,A119BS010220,A119BS010269,,79.16,,새한항업컨소시엄,"20181129","2019",,,
A219BS010434,"233","9","1",,"6","0","1",,,A119BS010156,A119BS010228,,300.51,,새한항업컨소시엄,"20181129","2019",,,
A219BS010436,"233","9","1",,"6","0","1",,,A119BS010207,A119BS010146,,245.86,,새한항업컨소시엄,"20181129","2019",,,
A219BS010466,"233","9","1",,"1","60","1",,,A119BS010189,A119BS010220,,23.18,,새한항업컨소시엄,"20191121","2019",,,
A219BS010467,"233","9","1",,"1","60","1",,,A119BS010189,A119BS010231,,30.68,,새한항업컨소시엄,"20191121","2019",,,
A219BS010469,"233","9","1",,"1","60","2",A219BS010470,A219BS010468,A119BS010702,A119BS010704,,23.89,,새한항업컨소시엄,"20191121","2019",,,
A219BS010470,"233","9","1",,"1","60","3",,A219BS010469,A119BS010703,A119BS010705,,23.79,,새한항업컨소시엄,"20191121","2019",,,
A219BS010471,"233","9","1",,"1","60","91",,,A119BS010702,A119BS010220,,28.50,,새한항업컨소시엄,"20191121","2019",,,
A219BS010472,"233","9","1",,"1","60","1",,,A119BS010151,A119BS010231,,21.33,,새한항업컨소시엄,"20191121","2019",,,
A219BS010473,"233","9","1",,"1","60","91",,,A119BS010151,A119BS010704,,25.82,,새한항업컨소시엄,"20191121","2019",,,
A219BS010474,"233","9","1",,"1","60","91",,,A119BS010228,A119BS010231,,29.96,,새한항업컨소시엄,"20191121","2019",,,
A219BS010475,"233","9","1",,"1","60","1",,,A119BS010155,A119BS010220,,35.70,,새한항업컨소시엄,"20191121","2019",,,
A219BS010476,"233","9","1",,"1","60","1",,,A119BS010155,A119BS010705,,16.00,,새한항업컨소시엄,"20191121","2019",,,
A219BS010607,"233","9","1",,"1","60","1",A219BS010610,,A119BS010191,A119BS010208,,20.10,,새한항업컨소시엄,"20191121","2019",,,
A219BS010608,"233","9","1",,"1","60","1",A219BS010614,A219BS010613,A119BS010146,A119BS010295,,21.83,,새한항업컨소시엄,"20191121","2019",,,
A219BS010609,"233","9","1",,"1","60","1",,A219BS010612,A119BS010149,A119BS010229,,23.78,,새한항업컨소시엄,"20191121","2019",,,
A219BS010610,"233","9","1",,"1","60","1",,,A119BS010191,A119BS010229,,15.83,,새한항업컨소시엄,"20191121","2019",,,
A219BS010611,"233","9","1",,"1","60","1",,,A119BS010149,A119BS010295,,13.04,,새한항업컨소시엄,"20191121","2019",,,
A219BS010612,"233","9","1",,"1","60","91",,,A119BS010149,A119BS010208,,20.79,,새한항업컨소시엄,"20191121","2019",,,
A219BS010613,"233","9","1",,"1","60","91",,,A119BS010146,A119BS010156,,22.49,,새한항업컨소시엄,"20191121","2019",,,
A219BS010614,"233","9","1",,"1","60","1",,,A119BS010146,A119BS010212,,20.11,,새한항업컨소시엄,"20191121","2019",,,
A219BS010615,"233","9","1",,"1","60","1",A219BS010616,A219BS010617,A119BS010188,A119BS010267,,30.37,,새한항업컨소시엄,"20191121","2019",,,
A219BS010616,"233","9","1",,"1","60","2",,A219BS010615,A119BS010150,A119BS010219,,30.40,,새한항업컨소시엄,"20191121","2019",,,
A219BS010617,"233","9","1",,"1","60","91",A219BS010615,,A119BS010188,A119BS010271,,29.99,,새한항업컨소시엄,"20191121","2019",,,
A219BS010618,"233","9","1",,"1","60","1",,,A119BS010185,A119BS010274,,30.36,,새한항업컨소시엄,"20191121","2019",,,
A219BS010089,"233","9","1",,"1","0","1",,A219BS010618,A119BS010272,A119BS010755,,22.97,,새한항업컨소시엄,"20180430","2019",,,
A219BS010092,"233","9","1",,"1","0","1",,,A119BS010275,A119BS010754,,22.95,,새한항업컨소시엄,"20181129","2019",,,
A219BS010619,"233","9","1",,"1","60","1",,,A119BS010754,A119BS010276,,16.75,,새한항업컨소시엄,"20191121","2019",,,
A219BS010620,"233","9","1",,"1","60","1",,,A119BS010755,A119BS010285,,15.61,,새한항업컨소시엄,"20191121","2019",,,
A219BS010621,"233","9","1",,"1","60","1",,,A119BS010291,A119BS010280,,57.41,,새한항업컨소시엄,"20191121","2019",,,
A219BS010622,"233","9","1",,"1","60","1",,A219BS010621,A119BS010290,A119BS010284,,29.27,,새한항업컨소시엄,"20191121","2019",,,
A219BS010623,"233","9","1",,"1","60","91",,,A119BS010292,A119BS010224,,43.12,,새한항업컨소시엄,"20191121","2019",,,
A219BS010624,"233","9","1",,"1","60","1",A219BS010625,,A119BS010286,A119BS010224,,40.98,,새한항업컨소시엄,"20191121","2019",,,
A219BS010625,"233","9","1",,"1","60","2",,A219BS010624,A119BS010279,A119BS010287,,40.86,,새한항업컨소시엄,"20191121","2019",,,
A219BS010626,"233","9","1",,"1","60","1",,,A119BS010288,A119BS010216,,40.80,,새한항업컨소시엄,"20191121","2019",,,
A219BS010627,"233","9","1",,"1","60","1",,,A119BS010293,A119BS010226,,28.56,,새한항업컨소시엄,"20191121","2019",,,
A219BS010628,"233","9","1",,"1","60","91",,,A119BS010288,A119BS010280,,47.93,,새한항업컨소시엄,"20191121","2019",,,
A219BS010629,"233","9","1",,"1","60","91",,,A119BS010286,A119BS010227,,44.21,,새한항업컨소시엄,"20191121","2019",,,
A219BS010631,"233","9","1",,"1","60","91",A219BS010632,A219BS010630,A119BS010713,A119BS010284,,48.82,,새한항업컨소시엄,"20191121","2019",,,
A219BS010632,"233","9","1",,"1","60","1",A219BS010633,,A119BS010714,A119BS010227,,57.23,,새한항업컨소시엄,"20191121","2019",,,
A219BS010633,"233","9","1",,"1","60","2",,A219BS010632,A119BS010715,A119BS010226,,57.16,,새한항업컨소시엄,"20191121","2019",,,
A219BS010634,"233","9","1",,"1","60","1",,A219BS010632,A119BS010715,A119BS010287,,30.68,,새한항업컨소시엄,"20191121","2019",,,
A219BS010635,"233","9","1",,"1","60","1",,A219BS010640,A119BS010162,A119BS010698,,27.69,,새한항업컨소시엄,"20191121","2019",,,
A219BS010636,"233","9","1",,"1","60","1",,A219BS010635,A119BS010162,A119BS010236,,21.05,,새한항업컨소시엄,"20191121","2019",,,
A219BS010637,"233","9","1",,"1","60","1",,,A119BS010164,A119BS010233,,30.40,,새한항업컨소시엄,"20191121","2019",,,
A219BS010638,"233","9","1",,"1","60","1",,,A119BS010164,A119BS010698,,20.90,,새한항업컨소시엄,"20191121","2019",,,
A219BS010639,"233","9","1",,"1","60","1",,A219BS010641,A119BS010158,A119BS010234,,28.33,,새한항업컨소시엄,"20191121","2019",,,
A219BS010640,"233","9","1",,"1","60","91",A219BS010635,,A119BS010162,A119BS010233,,28.95,,새한항업컨소시엄,"20191121","2019",,,
A219BS010641,"233","9","1",,"1","60","91",,,A119BS010158,A119BS010236,,29.60,,새한항업컨소시엄,"20191121","2019",,,
A219BS010642,"233","9","1",,"1","60","1",,,A119BS010159,A119BS010236,,30.49,,새한항업컨소시엄,"20191121","2019",,,
A219BS010643,"233","9","1",,"1","60","91",A219BS010642,,A119BS010159,A119BS010698,,24.54,,새한항업컨소시엄,"20191121","2019",,,
A219BS010644,"233","9","1",,"1","60","1",,A219BS010646,A119BS010171,A119BS010235,,37.47,,새한항업컨소시엄,"20191121","2019",,,
A219BS010645,"233","9","1",,"1","60","1",,A219BS010644,A119BS010171,A119BS010241,,29.05,,새한항업컨소시엄,"20191121","2019",,,
A219BS010646,"233","9","1",,"1","60","91",A219BS010644,,A119BS010171,A119BS010238,,36.59,,새한항업컨소시엄,"20191121","2019",,,
A219BS010647,"233","9","1",,"1","60","1",,A219BS010648,A119BS010166,A119BS010241,,36.70,,새한항업컨소시엄,"20191121","2019",,,
A219BS010648,"233","9","1",,"1","60","91",A219BS010647,,A119BS010166,A119BS010235,,34.79,,새한항업컨소시엄,"20191121","2019",,,
A219BS010649,"233","9","1",,"1","60","1",,,A119BS010166,A119BS010245,,29.56,,새한항업컨소시엄,"20191121","2019",,,
A219BS010650,"233","9","1",,"1","60","1",,,A119BS010161,A119BS010245,,37.38,,새한항업컨소시엄,"20191121","2019",,,
A219BS010651,"233","9","1",,"1","60","1",,A219BS010652,A119BS010161,A119BS010238,,27.56,,새한항업컨소시엄,"20191121","2019",,,
A219BS010652,"233","9","1",,"1","60","91",,,A119BS010161,A119BS010241,,35.39,,새한항업컨소시엄,"20191121","2019",,,
A219BS010653,"233","9","1",,"1","60","1",,A219BS010655,A119BS010167,A119BS010238,,36.68,,새한항업컨소시엄,"20191121","2019",,,
A219BS010654,"233","9","1",,"1","60","1",,,A119BS010167,A119BS010235,,26.83,,새한항업컨소시엄,"20191121","2019",,,
A219BS010655,"233","9","1",,"1","60","91",,,A119BS010167,A119BS010245,,36.61,,새한항업컨소시엄,"20191121","2019",,,
A219BS010656,"233","9","1",,"1","60","1",,A219BS010658,A119BS010174,A119BS010237,A319BS010006,29.67,,새한항업컨소시엄,"20191121","2019",,,
A219BS010657,"233","9","1",,"1","60","1",,,A119BS010163,A119BS010246,A319BS010002,29.68,,새한항업컨소시엄,"20191121","2019",,,
A219BS010658,"233","9","1",,"1","60","91",A219BS010656,,A119BS010174,A119BS010240,A319BS010005,27.30,,새한항업컨소시엄,"20191121","2019",,,
A219BS010659,"233","9","1",,"1","60","1",,,A119BS010163,A119BS010240,A319BS010002,19.61,,새한항업컨소시엄,"20191121","2019",,,
